id	hy	en	phrase_hy	phrase_en	lesson	tags	note
v0059	Բարի ճանապարհ	Have a good journey!			1	phrase,greetings,travel	
v0060	Բարի ախորժակ	Enjoy your meal! Bon appétit!			1	phrase,greetings,food	
v0061	Անուշ / Անուշ լինի	Enjoy! (said about food)			1	phrase,greetings,food	
v0062	Բարի գալուստ	Welcome!			1	phrase,greetings	
v0063	Ցտեսություն	Goodbye!			1	other,greetings	pron. ցըտեսություն
v0064	Հաջողություն / Հաջող	So long! Good luck!			1	other,greetings	formal alternative to goodbye; Հաջող is the short form
v0065	Կհանդիպենք	See you soon!			1	other,greetings	lit. we will meet: հանդիպել — to meet, կ- — will
v0066	Մինչ վաղը	See you tomorrow!			1	phrase,greetings	lit. until tomorrow
v0067	Արի ծանոթանանք	Let's get acquainted			1	phrase,greetings	
v0068	Ի՞նչ է քո անունը / Անունդ ի՞նչ է	What's your name?			1	phrase,greetings	
v0069	Իմ անունը … է / Անունս … է	My name is …			1	phrase,greetings	
v0070	Իսկ ի՞նչ է քո անունը	And what is your name?			1	phrase,greetings	
v0071	Որտեղի՞ց ես / եք	Where are you from?			1	phrase,greetings	
v0072	Ես … -ից եմ	I'm from …	Ես Վրաստանից եմ։	I am from Georgia.	1	phrase,greetings	-ից — from
v0073	Քանի՞ տարեկան ես	How old are you?			1	phrase,greetings	
v0074	Ես քսանհինգ տարեկան եմ	I am twenty-five years old.			1	phrase,greetings	
v0075	անուն	name			1	noun,people,letters	
v0076	ազգանուն	surname			1	noun,people	
v0077	իսկ	and, but			1	conjunction	
v0078	տարեկան	years old			1	other,numbers	
v0079	քսանհինգ	twenty-five			1	numeral,numbers	
v0080	Վրաստան	Georgia			1	noun,countries	
v0081	Ռուսաստան	Russia	Ես Ռուսաստանից եմ։	I am from Russia.	1	noun,countries	
v0082	ԱՄՆ	USA (Ամերիկայի Միացյալ Նահանգներ)	ԱՄՆ-ից եմ։	I am from the USA.	1	noun,countries	
v0083	գալ	to come	Դու գալի՞ս ես տուն։	Are you coming home?	2	verb,letters	
v0084	գնալ	to go	Ես գնում եմ տուն։	I am going home.	2	verb,letters	cf. գնել — to buy
v0085	գրել	to write			2	verb,letters,school	
v0086	գնել	to buy			2	verb,letters	
v0087	երգ	song			2	noun,letters	
v0088	երգել	to sing	Դու սիրո՞ւմ ես երգել։	Do you like to sing?	2	verb,letters	pron. երքել
v0089	կանգնել	to stand, to stop			2	verb,letters	
v0090	գարուն	spring	Գարնանը	in spring	2	noun,seasons,letters	
v0091	գարի	barley			2	noun,food,letters	
v0092	գրադարան	library	Նա գնում է գրադարան, իսկ դո՞ւ։	He/she is going to the library, and you?	2	noun,city,letters	
v0093	միրգ	fruit			2	noun,food,letters	pl. մրգեր
v0094	կարագ	butter	Ես սիրում եմ ուտել մրգեր ու կարագ։	I like to eat fruit and butter.	2	noun,food,letters	
v0095	ծառ	tree			2	noun,nature,letters	pl. ծառեր
v0096	ծեր	old (for people)			2	adjective,people,letters	
v0097	մեծ	big			2	adjective,letters	
v0098	ծույլ	lazy			2	adjective,letters	
v0099	ցածր	low			2	adjective,letters	
v0100	ծիրան	apricot			2	noun,food,letters	
v0101	ծաղիկ	flower			2	noun,nature,letters	pl. ծաղիկներ
v0102	ծնվել	to be born			2	verb,letters	
v0103	ծիծաղել	to laugh			2	verb,feelings,letters	
v0104	ծխել	to smoke			2	verb,letters	
v0105	ծանոթանալ	to get acquainted			2	verb,people,letters	
v0106	ծամել	to chew			2	verb,food,letters	
v0107	ծարավ	thirsty	Ծարավ եմ	I am thirsty	2	adjective,feelings,letters	
v0108	զբաղված	busy	Զբաղված եմ	I am busy	2	adjective,feelings,letters	
v0109	ամուսնացած	married	Նա ամուսնացած է ու ունի երկու մեծ տուն։	He/she is married and has two big houses.	2	adjective,people,letters	
v0110	Ծնունդդ շնորհավոր	Happy birthday!			2	phrase,greetings,letters	
v0111	Ֆրանսիա	France	Քո ընկերները հիմա Ֆրանսիայում են։	Your friends are in France now.	2	noun,countries,letters	
v0112	ֆիզիկա	physics	Այսօր նրանք ֆիզիկայի դաս չունեն։	Today they have no physics lesson.	2	noun,school,letters	
v0113	ֆուտբոլ	football	Դու սիրում ես ֆուտբո՞լ խաղալ, թե՞ թենիս։	Do you like to play football, or tennis?	2	noun,letters	
v0114	ֆուտբոլասեր	football fan			2	noun,people,letters	
v0115	ունենալ	to have	Ես ունեմ։ Ես չունեմ։	I have. I don't have.	2	verb	
v0116	գիտենալ	to know	Գիտե՞ս իմ անունը։	Do you know my name?	2	verb	
v0117	հայերեն	Armenian (language)	Դու հայերեն գիտե՞ս։	Do you know Armenian?	2	noun,languages	
v0118	անգլերեն	English (language)			2	noun,languages	
v0119	ռուսերեն	Russian (language)			2	noun,languages	
v0120	գերմաներեն	German (language)			2	noun,languages	
v0121	իտալերեն	Italian (language)			2	noun,languages	
v0122	թույն	cool			3	adjective,colloquial	
v0123	պատրաստ	ready	Պատրա՞ստ ես։	Are you ready?	3	adjective	
v0124	ընտանիք	family			3	noun,family	
v0125	ընտանիքի անդամ	family member			3	phrase,family	pron. անթամ
v0126	մայր / մայրիկ	mother			3	noun,family	
v0127	հայր / հայրիկ	father			3	noun,family	
v0128	քույր / քույրիկ	sister			3	noun,family	
v0129	եղբայր / ախպեր	brother			3	noun,family	pron. եղպայր; ախպեր is spoken
v0130	որդի	son			3	noun,family	pron. որթի; gen. որդու
v0131	դուստր	daughter			3	noun,family	gen. դստեր
v0132	տատ / տատիկ	grandmother			3	noun,family	
v0133	պապ / պապիկ	grandfather			3	noun,family	
v0134	թոռ / թոռնիկ	grandchild			3	noun,family	
v0135	զարմիկ / զարմուհի	cousin (male / female)			3	noun,family	
v0136	ընկեր	friend	Ես ունեմ երկու ընկեր։	I have two friends.	3	noun,people,letters	
v0137	աղջիկ	girl			3	noun,people	
v0138	տղա	boy			3	noun,people	
v0139	իմ	my	իմ անունը	my name	3	pronoun,letters	
v0140	քո	your (singular)	քո քույրը	your sister	3	pronoun	
v0141	նրա / իր	his, her, its	նրա ազգանունը	his surname	3	pronoun	for նա / ինքը; spoken իրա
v0142	մեր	our	մեր որդին	our son	3	pronoun,letters	
v0143	ձեր	your (plural, polite)	ձեր տատիկը	your grandmother	3	pronoun	
v0144	նրանց / իրենց	their	նրանց եղբայրը	their brother	3	pronoun	for նրանք / իրենք; spoken իրանց
v0145	ես	I			3	pronoun,letters	
v0146	երկիր	country	Մեր երկիրը Իրանն է։	Our country is Iran.	3	noun,countries,letters	pl. երկրներ
v0147	երկու	two			3	numeral,numbers,letters	
v0148	երեսուն	thirty			3	numeral,numbers,letters	
v0149	երեկ	yesterday	Ի՞նչ օր էր երեկ	What day was it yesterday?	3	adverb,time,letters	
v0150	երես	face			3	noun,face,letters	
v0151	սեր	love			3	noun,feelings,letters	gen. սիրո
v0152	կես	half	Ժամը մեկ անց կես է	It is half past one	3	noun,numbers,letters,time	
v0153	տե՛ս	see! (imperative)			3	verb,letters	
v0154	Կարեն	Karen (male name)			3	noun,people,letters	
v0155	մատիտ	pencil	Սա ո՞ւմ մատիտն է։ Սա իմ մատիտն է։	Whose pencil is this? This is my pencil.	3	noun,school	
v0156	մատ	finger	Ես ունեմ տասը մատ։	I have ten fingers.	3	noun,body	pl. մատներ
v0157	գլուխ	head			3	noun,body,letters,face	
v0158	գլխարկ	hat			3	noun,clothes,letters,from-exercise	pron. գըլխարկ
v0159	խանութ	store			3	noun,city,letters	
v0160	հեռախոս	phone	Դու շատ երկար ես խոսում հեռախոսով։	You talk on the phone for a very long time.	3	noun,letters,from-exercise	
v0161	խաղալ	to play	խաղալու	(in order) to play	3	verb,letters	
v0162	խմել	to drink	Նրանք խմում են կաթով թեյ ու խոսում անգլերեն։	They drink tea with milk and speak English.	3	verb,drinks,letters	
v0163	խոսել	to speak	Ես խոսում եմ հայերեն։	I speak Armenian.	3	verb,letters	
v0164	խնդրել	to ask for			3	verb,letters	
v0165	մութ	dark	Մի՛ խաղա, հիմա շատ մութ է։	Don't play, it is very dark now.	3	adjective,weather	
v0166	հայ	Armenian (person)	Դու հա՞յ ես։	Are you Armenian?	3	noun,people,countries,letters	
v0167	հույն	Greek (person)			3	noun,people,countries,letters	
v0168	հետ	with	քեզ հետ	with you	3	postposition,letters	
v0169	հնդիկ	Indian (person)	Չէ, ես հնդիկ եմ։	No, I am Indian.	3	noun,people,countries,letters	
v0170	հարկ	floor (storey)	Ո՞ր հարկում է ապրում քո ընկերը	What floor does your friend live on?	3	noun,home,letters	
v0171	հանել	to take off			3	verb,clothes,letters	
v0172	հարգել	to respect			3	verb,letters	
v0173	հավաքել	to collect, to gather			3	verb,letters	
v0174	հավանել	to like			3	verb,feelings,letters	
v0175	հավասար	equal			3	adjective,letters	
v0176	համալսարան	university	Աննան գնում է համալսարան։	Anna goes to university.	3	noun,school,city,letters	
v0177	բարդ	complex, complicated			4	adjective	pron. բարթ
v0178	քաղաք	city			4	noun,city	
v0179	գյուղ	village			4	noun,city	
v0180	հասցե	address			4	noun,city,home	
v0181	փողոց	street			4	noun,city	
v0182	շենք	building			4	noun,city	
v0183	բնակարան	apartment, flat			4	noun,home	
v0184	սենյակ	room			4	noun,home,letters	
v0185	ննջասենյակ	bedroom			4	noun,home	
v0186	ննջել	to take a nap			4	verb,home	
v0187	հյուրասենյակ	living room			4	noun,home	
v0188	հյուր	guest			4	noun,people,home,letters	
v0189	խոհանոց	kitchen			4	noun,home	
v0190	առաստաղ	ceiling			4	noun,home	
v0191	հատակ	floor (пол)			4	noun,home	
v0192	պատ	wall			4	noun,home	
v0193	պատուհան / լուսամուտ	window			4	noun,home	
v0194	միջանցք	corridor			4	noun,home	
v0195	բաղնիք	bathroom			4	noun,home	
v0196	դու	you (singular)			4	pronoun,letters	
v0197	դա	that	Ի՞նչ է դա։ Դա լուսանկար է։	What is that? That is a photograph.	4	pronoun,letters	
v0198	դաս	lesson	Դասի / Դասից	to class / from class	4	noun,school,letters	
v0199	դանակ	knife			4	noun,home,food,letters	
v0200	դարակ	shelf	Դարակում կարմիր մատիտներ կան։	There are red pencils on the shelf.	4	noun,furniture,letters	
v0201	մարդ	man, person			4	noun,people,letters	pron. մարթ
v0202	սարդ	spider	Սա սարդ է։	This is a spider.	4	noun,nature,letters	
v0203	դար	century			4	noun,time,letters	
v0204	դի՛ր	put it! (imperative)			4	verb,letters	
v0205	դուրս	outside			4	adverb,letters	
v0206	կարդալ	to read	Ես կարդում եմ։	I read / I am reading.	4	verb,school,letters	pron. կարթալ, կարթում
v0207	բակ	yard			4	noun,home,letters	
v0208	բանալի	key			4	noun,home,letters	
v0209	բարեկամ	relative			4	noun,family,letters	
v0210	բերան	mouth			4	noun,face,letters	
v0211	եղբայր	brother			4	noun,family,letters	
v0212	բարի	kind			4	adjective,people,letters,feelings	
v0213	բնական	natural			4	adjective,letters	
v0214	բարակ	thin			4	adjective,letters	
v0215	թաց	wet			4	adjective,letters	
v0216	բաց	open	բաց կանաչ	light green	4	adjective,letters,colours	
v0217	բացել	to open	Խնդրում եմ, բացի՛ր դուռը։	Please open the door.	4	verb,letters,from-exercise	
v0218	բացատրել	to explain	Բացատրի՛ր, ո՞վ է այն կինը։	Explain, who is that woman?	4	verb,letters	
v0219	բերել	to bring			4	verb,letters	
v0220	բոլոր	all			4	pronoun,letters	
v0221	բառ	word			4	noun,school,letters	
v0222	բառարան	dictionary	Գիտե՞ս որտեղ է իմ հայերեն-անգլերեն բառարանը։	Do you know where my Armenian-English dictionary is?	4	noun,school,letters	
v0223	կա	there is			5	other	
v0224	կան	there are	Կան շատ հյուրեր իմ հյուրասենյակում։	There are many guests in my living room.	5	other	
v0225	անել	to do	Ի՞նչ ես անում։	What are you doing? What do you do?	5	verb	
v0226	ուզել	to want			5	verb	
v0227	հասկանալ	to understand			5	verb,abstract	
v0228	միշտ	always	Մենք միշտ խոսում ենք հայերեն։	We always speak Armenian.	5	adverb,time	
v0229	սովորաբար	usually	Նրանք սովորաբար չեն խոսում հայերեն։	They usually don't speak Armenian.	5	adverb,time	
v0230	երբեք	never	Նա երբեք չի խոսում հայերեն։	He/she never speaks Armenian.	5	adverb,time	pron. երփեք
v0231	երբեմն / մեկ-մեկ	sometimes			5	adverb,time	pron. երփեմըն
v0232	նա	she, he			5	pronoun,letters	
v0233	Աննա	Anna (female name)			5	noun,people,letters	
v0234	սանր	comb	Սա իմ սանրն է, իսկ սա Արուսի սանրն է։	This is my comb, and this is Arus's comb.	5	noun,home,letters	
v0235	նույն	same			5	adjective,letters	
v0236	նման	similar, like			5	adjective,letters	
v0237	նուշ	almond			5	noun,food,letters	
v0238	նշան	sign			5	noun,letters	
v0239	նվեր	gift			5	noun,letters,from-exercise	
v0240	նկար	picture	Սա իմ նկարն է, իսկ սա Արամի նկարն է։	This is my picture, and this is Aram's picture.	5	noun,letters	pl. նկարներ
v0241	նկարագրություն	description			5	noun,abstract,letters	
v0242	նաև	also			5	adverb,letters	
v0243	ամիս	month	Այսօր ամսի քանի՞սն է։	What is the date today?	5	noun,calendar,time,letters	gen. ամսի
v0244	միս	meat			5	noun,food,letters	
v0245	մարմին	body			5	noun,body,letters	
v0246	Արամ	Aram (male name)			5	noun,people,letters	
v0247	Արման	Arman (male name)			5	noun,people,letters	
v0248	Իրան	Iran	Իրանում կարմիր սունկ կա։	In Iran there is a red mushroom.	5	noun,countries,letters	Իրանում — in Iran
v0249	կարմիր	red	մեծ կարմիր պայուսակ	big red bag	5	adjective,colours,letters	
v0250	մասին	about	Իմ մասին · Արամի մասին · Իրանի մասին	about me · about Aram · about Iran	5	postposition,letters	
v0251	մարդամոտ	sociable			5	adjective,people,letters	
v0252	մարդասպան	murderer			5	noun,people,letters	
v0253	մանկություն	childhood			5	noun,abstract,letters	
v0254	մաղթանք	wish, blessing			5	noun,abstract,letters	
v0255	մկրատ	scissors			5	noun,home,letters	
v0256	մուկ	mouse			5	noun,nature,letters	pl. մկներ
v0257	տուն	home, house	Ես տանն եմ։	I am at home.	6	noun,home,city	տանը — at home
v0258	տանել	to take			6	verb	
v0259	որովհետև	because			6	conjunction	
v0260	երիտասարդ	young	Նրանք երիտասարդ են։	They are young.	6	adjective,people	
v0261	յասաման	lilac			6	noun,nature,letters	
v0262	հայր	father			6	noun,family,letters	
v0263	մայր	mother			6	noun,family,letters	
v0264	քույր	sister			6	noun,family,letters	
v0265	հարյուր	hundred			6	numeral,numbers,letters	
v0266	հայելի	mirror			6	noun,home,letters,furniture	
v0267	գույն	colour			6	noun,colours,letters	
v0268	կապույտ	blue			6	adjective,colours,letters	
v0269	այո	yes			6	other,letters	
v0270	այս	this	Այս գիրքը / Այս գրքերը	this book / these books	6	pronoun,letters	
v0271	այդ	that			6	pronoun,letters	
v0272	այն	that one over there			6	pronoun,letters	
v0273	մյուս	other			6	adjective,letters	
v0274	այսօր	today			6	adverb,time,letters	
v0275	այստեղ	here			6	adverb,letters	spoken ստեղ
v0276	այսպես	like this, this way			6	adverb,letters	spoken սենց
v0277	լույս	light			6	noun,letters	
v0278	Հայաստան	Armenia			6	noun,countries	
v0279	հայկական	Armenian (adjective)			6	adjective,countries	
v0280	հունարեն	Greek (language)			6	noun,languages	
v0281	Հունաստան	Greece			6	noun,countries	
v0282	հունական	Greek (adjective)			6	adjective,countries	
v0283	ո՞վ	who? (singular)	Ո՞վ է նա։	Who is he/she?	6	question	
v0284	ովքե՞ր	who? (plural)	Ովքե՞ր են նրանք։	Who are they?	6	question	
v0285	ի՞նչ	what? (singular)	Ի՞նչ է սա։	What is this?	6	question	
v0286	ինչե՞ր	what? (plural)	Ինչե՞ր են սրանք։	What are these?	6	question	
v0287	ե՞րբ	when?	Ե՞րբ ես գնում։	When are you going?	6	question,time	pron. երփ
v0288	ինչո՞ւ / ինչի՞ / խի՞	why?			6	question	ինչո՞ւ formal, ինչի՞ spoken, խի՞ very spoken
v0289	որտե՞ղ	where? (где, location)			6	question	
v0290	ո՞ւր	where to? (куда, direction)	Ո՞ւր ես գնում։	Where are you going?	6	question	
v0291	ո՞ր	which?	Ո՞ր մեկն ես ուզում։	Which one do you want?	6	question	
v0292	ինչպե՞ս / ո՞նց	how?			6	question	
v0293	ինչպիսի՞	what kind of?			6	question	
v0294	քանի՞	how many? (countable)			6	question,numbers	
v0295	ինչքա՞ն	how much? (uncountable)			6	question,numbers	
v0296	ո՞ւմ	whom? whose?	Ո՞ւմ սուրճն է սա։	Whose coffee is this?	6	question	
v0297	լալ	to cry			6	verb,feelings	
v0298	տալ	to give			6	verb	
v0299	Ի՞նչ օր է այսօր	What day is it today?			7	phrase,calendar	
v0300	երկուշաբթի	Monday	Երեկ երկուշաբթի էր	Yesterday it was Monday	7	noun,calendar	
v0301	երեքշաբթի	Tuesday	Այսօր երեքշաբթի է, կիրակի չէ	Today is Tuesday, it is not Sunday	7	noun,calendar	
v0302	չորեքշաբթի	Wednesday	Վաղը չորեքշաբթի է	Tomorrow is Wednesday	7	noun,calendar	
v0303	հինգշաբթի	Thursday	Կհանդիպենք հինգշաբթի / հինգշաբթի օրը	See you on Thursday	7	noun,calendar	
v0304	ուրբաթ	Friday			7	noun,calendar	
v0305	շաբաթ	Saturday			7	noun,calendar	
v0306	կիրակի	Sunday			7	noun,calendar	
v0307	վաղը	tomorrow	Ի՞նչ օր է վաղը	What day is it tomorrow?	7	adverb,time	
v0308	Ինչպե՞ս ես / Ո՞նց ես	How are you? (singular)			7	phrase,greetings	
v0309	Ինչպե՞ս եք / Ո՞նց եք	How are you? (plural)			7	phrase,greetings	
v0310	սովորական	normal, as usual	Ավելի սովորական / պակաս սովորական / ամենասովորական	more ordinary / less ordinary / the most ordinary	7	adjective,feelings	
v0311	լավ	well, good	Լավ եմ / Լավ չեմ	I am well / I am not well	7	adjective,feelings	
v0312	վատ	bad	Վատ եմ	I am bad / I feel bad	7	adjective,feelings	
v0313	տխուր	sad	Տխուր եմ	I am sad	7	adjective,feelings	
v0314	ազատ	free	Ազատ եմ	I am free	7	adjective,feelings	
v0315	հիվանդ	sick	Հիվանդ եմ	I am sick	7	adjective,feelings	
v0316	առողջ	healthy	Առողջ եմ	I am healthy	7	adjective,feelings,body	
v0317	բարկացած	angry	Բարկացած եմ	I am angry	7	adjective,feelings	
v0318	անհանգիստ	worried	Անհանգիստ եմ	I am worried	7	adjective,feelings	
v0319	հանգիստ	relaxed, calm			7	adjective,feelings	
v0320	հպարտ	proud	Հպարտ եմ	I am proud	7	adjective,feelings	pron. հըպարտ
v0321	զարմացած	surprised	Զարմացած եմ	I am surprised	7	adjective,feelings	
v0322	մտահոգված	concerned	Մտահոգված եմ	I am concerned	7	adjective,feelings	pron. մտահոքված
v0323	հիասթափված	disappointed	Հիասթափված եմ	I am disappointed	7	adjective,feelings	
v0324	Ի՞նչ նորություն կա	What's new?			7	phrase,greetings	
v0325	Ամեն ինչ կարգին է	Everything is OK			7	phrase,greetings	
v0326	Ի՞նչ կա չկա	What's up?			7	phrase,greetings,colloquial	
v0327	Ինչպե՞ս են գործերդ	How are things going?			7	phrase,greetings	
v0328	հրաշալի	wonderful			7	adjective,feelings	
v0329	ապրել	to live			7	verb,from-exercise	
v0330	երաժշտություն	music			7	noun,from-exercise	
v0331	ուտելիք	food			7	noun,food,from-exercise	
v0332	միասին	together			7	adverb,from-exercise	
v0333	առավոտյան	in the morning			7	adverb,time,from-exercise	
v0334	Ուրախ տոներ	Happy holidays			8	phrase,greetings	
v0335	կա / չկա	there is / there is not			8	verb	
v0336	կան / չկան	there are / there are not			8	verb	
v0337	խելացի	smart			8	adjective,from-exercise,people	
v0338	լուրջ	seriously			8	adverb,adjective	
v0339	աշխատել	to work			8	verb,work	
v0340	ուտել	to eat	ուտելու	(in order) to eat	8	verb,food	
v0341	արթնանալ	to wake up			8	verb	
v0342	ուշանալ	to be late			8	verb,time	
v0343	պատմել	to tell (рассказывать)			8	verb	
v0344	ասել	to say (говорить)			8	verb	
v0345	մնալ	to stay			8	verb,travel	
v0346	մրսել	to be / feel cold (быть замёрзшим)			8	verb	
v0347	տխրել	to be sad			8	verb,feelings	
v0348	ուրախանալ	to be glad, to rejoice (радоваться)			8	verb,feelings	
v0349	սիրել	to love			8	verb,feelings	
v0350	հիշել	to remember			8	verb,abstract	
v0351	մոռանալ	to forget			8	verb	
v0352	մեկ	1 — one			8	numeral,numbers	
v0353	երեք	3 — three			8	numeral,numbers	
v0354	չորս	4 — four			8	numeral,numbers	
v0355	հինգ	5 — five			8	numeral,numbers	
v0356	վեց	6 — six			8	numeral,numbers	
v0357	յոթ	7 — seven			8	numeral,numbers	
v0358	ութ	8 — eight			8	numeral,numbers	
v0359	ինը	9 — nine			8	numeral,numbers	
v0360	տասը / տասն	10 — ten			8	numeral,numbers	
v0361	տասնմեկ	11 — eleven	Տաս + ն + մեկ = տասնմեկ	ten + n + one = eleven	8	numeral,numbers	
v0362	տասներկու	12 — twelve			8	numeral,numbers	
v0363	տասներեք	13 — thirteen			8	numeral,numbers	
v0364	քսան	20 — twenty			8	numeral,numbers	
v0365	քսանմեկ	21 — twenty-one			8	numeral,numbers	
v0366	երեսունմեկ	31 — thirty-one			8	numeral,numbers	
v0367	քառասուն	40 — forty			8	numeral,numbers	
v0368	հիսուն	50 — fifty			8	numeral,numbers	
v0369	վաթսուն	60 — sixty			8	numeral,numbers	
v0370	յոթանասուն	70 — seventy			8	numeral,numbers	
v0371	ութսուն	80 — eighty			8	numeral,numbers	
v0372	իննսուն	90 — ninety			8	numeral,numbers	
v0373	միլիոն	million			8	numeral,numbers	
v0374	միլիարդ	billion			8	numeral,numbers	
v0375	համբույր	kiss			9	noun,feelings	pron. համփույր
v0376	համբուրել	to kiss			9	verb,feelings	
v0377	Դու սիրո՞ւմ ես ինձ	Do you love me?			9	phrase,feelings	
v0378	կարողանալ	can, to be able to	Ես կարող եմ / Ես չեմ կարող	I can / I cannot	9	verb	
v0379	ծնունդ	birthday	Ե՞րբ է քո ծնունդը	When is your birthday?	9	noun,calendar	
v0380	վերադառնալ	to return			9	verb,travel	
v0381	հաջորդ	next	հաջորդ շաբաթ	next week	9	adjective,time	
v0382	Տարվա ամիսներ	Months of the year			9	phrase,calendar	
v0383	հունվար	January			9	noun,calendar	
v0384	փետրվար	February			9	noun,calendar	
v0385	մարտ	March			9	noun,calendar	
v0386	ապրիլ	April			9	noun,calendar	
v0387	մայիս	May			9	noun,calendar	
v0388	հունիս	June			9	noun,calendar	
v0389	հուլիս	July			9	noun,calendar	
v0390	օգոստոս	August			9	noun,calendar	
v0391	սեպտեմբեր	September			9	noun,calendar	
v0392	հոկտեմբեր	October			9	noun,calendar	
v0393	նոյեմբեր	November			9	noun,calendar	
v0394	դեկտեմբեր	December			9	noun,calendar	
v0395	Այսօր ամսի քանի՞սն է	What is the date today?			9	phrase,calendar	
v0396	Այսօր հունվարի ութն է	Today is the 8th of January			9	phrase,calendar	
v0397	Ամսի քանիսի՞ն	On what date?			9	phrase,calendar	
v0398	Հունվարի ութին	On the 8th of January			9	phrase,calendar	
v0399	օգնել	to help	Ինձ օգնի՛ր	Help me	9	verb,from-exercise	pron. օքնել
v0400	փակել	to close			9	verb,from-exercise	
v0401	քեզ համար	for you			9	phrase,from-exercise	
v0402	դուռ	door			9	noun,home,from-exercise	pl. դռներ
v0403	լուսամուտ / պատուհան	window			9	noun,home,from-exercise	
v0404	ինձ	me			9	pronoun,from-exercise	
v0405	առաջին	1st — first	Ես առաջին անգամ եմ Երևանում	I'm in Yerevan for the first time	10	numeral,numbers,adjective	
v0406	երկրորդ	2nd — second	Երկրորդ անգամ	for the second time	10	numeral,numbers	
v0407	երրորդ	3rd — third			10	numeral,numbers	
v0408	չորրորդ	4th — fourth	Իմ ընկերը ապրում է չորրորդ հարկում	My friend lives on the 4th floor	10	numeral,numbers	
v0409	հինգերորդ	5th — fifth			10	numeral,numbers	
v0410	վեցերորդ	6th — sixth			10	numeral,numbers	
v0411	յոթերորդ	7th — seventh			10	numeral,numbers	
